occurrence_id,word,source_type,cue_index,paragraph_clip_index,sentence_clip_index,word_index_in_sentence,sentence_segment_start_main,sentence_segment_end_main,paragraph_segment_start_main,paragraph_segment_end_main,main_video_start,main_video_end,relative_sentence_clip_start,relative_sentence_clip_end,relative_paragraph_clip_start,relative_paragraph_clip_end,sentence_clip_src,paragraph_clip_src,timing_status,sentence_text,paragraph_text,notes
0,access,title,title,0,0,0,0,16.6667,0,16.6667,0,4.1667,0,4.1667,0,4.1667,segments/sentences/sent_0.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,Access Suggestions for Mobilizations,Access Suggestions for Mobilizations,Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
1,suggestions,title,title,0,0,1,0,16.6667,0,16.6667,4.1667,8.3333,4.1667,8.3333,4.1667,8.3333,segments/sentences/sent_0.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,Access Suggestions for Mobilizations,Access Suggestions for Mobilizations,Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
2,for,title,title,0,0,2,0,16.6667,0,16.6667,8.3333,12.5,8.3333,12.5,8.3333,12.5,segments/sentences/sent_0.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,Access Suggestions for Mobilizations,Access Suggestions for Mobilizations,Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
3,mobilizations,title,title,0,0,3,0,16.6667,0,16.6667,12.5,16.6667,12.5,16.6667,12.5,16.6667,segments/sentences/sent_0.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,Access Suggestions for Mobilizations,Access Suggestions for Mobilizations,Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
4,these,paragraph,0,0,1,0,16.6667,28.3333,16.6667,40,16.6667,17.3148,0,0.6481,0,0.6481,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
5,recommendations,paragraph,0,0,1,1,16.6667,28.3333,16.6667,40,17.3148,17.963,0.6481,1.2963,0.6481,1.2963,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
6,are,paragraph,0,0,1,2,16.6667,28.3333,16.6667,40,17.963,18.6111,1.2963,1.9444,1.2963,1.9444,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
7,to,paragraph,0,0,1,3,16.6667,28.3333,16.6667,40,18.6111,19.2593,1.9444,2.5926,1.9444,2.5926,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
8,be,paragraph,0,0,1,4,16.6667,28.3333,16.6667,40,19.2593,19.9074,2.5926,3.2407,2.5926,3.2407,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
9,used,paragraph,0,0,1,5,16.6667,28.3333,16.6667,40,19.9074,20.5556,3.2407,3.8889,3.2407,3.8889,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
